variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,tum_ghost_reduction_vs_tsdf,bonn_ghost_reduction_vs_tsdf,hit_2of4_partial,pass_comp,decision
00_no_synthesis_rps,3.5186986237833153,99.46666666666667,5.018809056317895,74.23333333333333,52.17799474277132,34.98170707192539,1,False,baseline
01_weak_legacy_wdsg,1.2179653230625576,84.1,2.994837723250141,82.56666666666666,-15.399867812293438,-5.78821927136532,2,False,weak
02_anchor_synthesis,1.2345572361740937,83.26666666666667,2.9750289384463215,82.76666666666667,-22.91946308724834,-5.34559073884915,2,False,abandon
03_counterfactual_synthesis,1.1865698631562465,82.19999999999999,2.957246564764709,82.6,-28.617478510028626,-7.558733401429997,2,False,abandon
04_energy_synthesis,1.1581320937003041,77.8,2.9344520786160144,82.76666666666667,-34.5693779904306,-6.673476336397657,2,False,abandon
05_anchor_noroute,0.9291700950906701,68.5,2.88654866791787,83.6,-58.16104461371056,-7.558733401429997,2,False,abandon
06_counterfactual_noroute,0.92999075764538,68.23333333333333,2.88881528697912,83.56666666666666,-59.344262295081975,-7.558733401429997,2,False,abandon
07_anchor_lite_noroute,1.37133628813416,78.23333333333333,2.88872111564066,83.56666666666666,-17.301378857518067,-7.558733401429997,2,False,abandon
08_anchor_ultralite_noroute,2.72373591291146,98.9,4.05973629368824,81.89999999999999,28.179092272045825,20.712646190840502,1,False,abandon
09_anchor_ultralite_bonn_noadaptive,2.72373591291146,98.9,3.48611711756768,82.5,28.179092272045825,17.515197568389052,1,False,abandon
10_anchor_ultralite_bonn_relaxed,2.72373591291146,98.9,3.7586330857700196,83.96666666666667,28.179092272045825,32.09442491210449,1,False,abandon
11_gcclip_anchor_ultralite,2.72373591291146,98.9,4.05973629368831,81.9,28.179092272045825,20.712646190840502,1,False,abandon
12_gcclip_anchor_ultralite_bonn_relaxed,2.72373591291146,98.9,4.06330573052659,81.93333333333334,28.179092272045825,20.721311475409873,1,False,abandon
13_bonn_localclip_soft,2.68323974607232,99.03333333333332,3.82910859610504,83.26666666666667,25.451617420529338,15.418894830659582,1,False,abandon
14_bonn_localclip_drive,2.60078903620525,99.13333333333331,3.7549743466501297,83.86666666666667,26.068306895435445,35.69161844315848,1,False,iterate
